MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RotatableBonds,NumAromaticAtoms,NumSP2Atoms,NumC,NumN,NumO,NumS,NumF,NumCl,NumBr,Label
138.059,-0.0911,2,2,70.06,1,0,1,3,0,4,0,0,0,0,1
344.845,5.3767,0,2,17.82,4,23,23,22,2,0,0,0,1,0,1
253.269,0.8334,3,7,129.62,1,16,19,12,7,0,0,0,0,0,1
780.949,2.2181,6,14,203.06,7,0,5,41,0,14,0,0,0,0,1
145.161,1.9404,1,2,33.12,0,10,11,9,1,1,0,0,0,0,1
375.4,1.9804,2,6,83.8,4,10,16,19,3,4,0,1,0,0,1
586.689,4.0911,1,9,114.2,4,16,24,33,4,6,0,0,0,0,1
543.525,0.0013,6,12,206.07,5,12,21,27,1,11,0,0,0,0,1
305.205,1.925,2,3,66.56,8,6,10,13,2,2,0,0,2,0,1
129.094,-0.5088,2,3,71.77,0,6,8,4,3,1,0,1,0,0,1
331.353,1.581,2,5,99.6,2,12,21,15,3,4,1,0,0,0,1
152.182,1.01549,2,3,57.36,0,9,10,5,4,0,1,0,0,0,1
454.447,0.2684,5,10,210.54,9,16,28,20,8,5,0,0,0,0,1
383.408,1.7846,1,8,106.95,4,15,22,19,5,4,0,0,0,0,1
339.399,0.39448,1,7,97.05,3,12,15,18,5,2,0,0,0,0,1
290.403,4.468,0,3,35.53,9,6,12,18,0,3,0,0,0,0,1
459.463,-0.2577,7,9,202.77,9,12,26,20,7,6,0,0,0,0,1
414.41,2.4092,1,8,92.68,4,12,20,22,0,8,0,0,0,0,1
180.156,-3.3788,5,6,118.22,5,0,2,6,0,6,0,0,0,0,1
243.31,1.3435,3,2,70.91,2,9,12,14,3,1,0,0,0,0,1
216.192,2.5478,0,4,52.58,1,13,15,12,0,4,0,0,0,0,1
324.424,3.1732,1,4,45.59,4,10,13,20,2,2,0,0,0,0,1
324.424,3.1732,1,4,45.59,4,10,13,20,2,2,0,0,0,0,1
327.38,1.3014,2,5,70,2,6,12,19,1,4,0,0,0,0,1
346.339,2.1756,1,7,107.77,4,6,20,17,2,6,0,0,0,0,1
152.237,2.4017,0,1,17.07,0,0,2,10,0,1,0,0,0,0,1
290.403,4.468,0,3,35.53,9,6,12,18,0,3,0,0,0,0,1
560.693,0.9221,6,9,205.84,23,0,15,25,6,8,0,0,0,0,1
545.629,2.5807,2,10,123.99,9,6,17,29,1,9,0,0,0,0,1
254.285,3.1057,1,2,54.37,4,12,17,16,0,3,0,0,0,0,1
348.428,2.73432,3,4,103.68,5,12,19,16,4,3,1,0,0,0,1
269.352,1.9118,1,4,49.74,5,14,14,15,5,0,0,0,0,0,1
277.408,3.0356,1,3,32.7,5,6,7,17,1,2,0,0,0,0,1
388.895,4.1702,1,4,62.66,8,12,15,21,2,3,0,0,1,0,1
371.393,2.5822,1,8,103.55,4,9,20,19,3,5,0,0,0,0,1
391.467,4.41112,0,5,59.75,5,16,20,24,1,4,0,0,0,0,1
314.257,1.7405,1,6,118.05,4,11,22,14,4,5,0,0,0,0,1
334.169,2.8894,2,3,80.39,4,12,18,15,1,3,0,0,0,1,1
344.411,2.2233,4,5,90.82,9,12,17,19,2,4,0,0,0,0,1
307.287,2.2289,1,7,111.43,4,11,20,12,3,5,1,0,0,0,1
327.468,4.1437,2,3,52.82,1,0,5,21,1,2,0,0,0,0,1
513.677,5.95092,1,5,63.05,8,11,14,29,5,1,0,2,0,0,1
323.371,2.9793,3,2,56.92,3,15,18,19,3,1,0,1,0,0,1
405.441,2.3636,3,5,70.95,6,12,14,22,1,4,0,2,0,0,1
331.467,1.3225,2,8,83.33,10,5,12,12,5,2,2,0,0,0,1
151.209,1.2819,2,2,46.25,2,6,7,9,1,1,0,0,0,0,1
386.48,4.6391,2,4,70.67,5,21,26,22,4,1,1,0,0,0,1
163.198,-0.4945,3,3,66.4,3,0,6,5,1,3,1,0,0,0,1
486.436,4.6081,4,6,91.18,16,12,13,24,1,5,0,0,2,0,1
285.235,-1.8409,4,9,139.54,2,9,10,10,5,4,0,1,0,0,1
882.035,8.116,4,10,188.8,11,31,46,49,9,7,0,0,0,0,1
149.237,1.837,1,1,12.03,3,6,6,10,1,0,0,0,0,0,1
812.018,4.9292,1,14,171.85,11,11,22,43,5,10,0,0,0,0,1
326.633,7.3442,0,0,0,18,0,0,22,1,0,0,0,0,0,1
958.24,6.1972,3,14,204.66,9,0,20,53,1,14,0,0,0,0,1
433.592,4.9722,1,4,57.61,3,6,15,28,1,3,0,0,0,0,1
302.349,2.3681,2,3,64.35,7,12,16,17,2,2,0,1,0,0,1
